Date,Player,Opp,Shift_Count,Total_TOI,EV_TOI,PP_TOI,SH_TOI,Lineup,Score_For,Score_Against,Result,Goals,Assists,Points,+/-,SOG,Att_Blocked,Missed_Shots,Hits,Giveaways,Takeaways,Blocked_Shots,Faceoff_Won,Faceoff_Loss,Faceoff_Pct
4/6/24,Crosby,TBL,30,18.55,15.72,2.67,0.17,12-6,5,4,W,1,0,1,1,2,0,5,2,0,1,0,16,8,67
4/4/24,Rakell,WSH,22,15.58,14.02,1.57,0,12-6,4,1,W,0,0,0,0,1,0,2,3,0,1,0,0,0,
4/4/24,Malkin,WSH,22,17.6,15.42,2.18,0,12-6,4,1,W,0,0,0,1,0,0,1,1,0,4,1,1,4,20
4/4/24,Crosby,WSH,25,18.83,16.7,2.12,0.02,12-6,4,1,W,0,0,0,1,0,0,1,2,0,2,1,8,8,50
4/2/24,Rakell,NJD,21,16.32,14.5,1.82,0,12-6,6,3,W,1,0,1,4,3,2,0,1,0,0,1,0,0,
4/2/24,Malkin,NJD,20,16.73,13.98,2.75,0,12-6,6,3,W,2,1,3,4,2,0,1,0,0,0,1,4,8,33
4/2/24,Crosby,NJD,23,16.15,13.7,2.45,0,12-6,6,3,W,2,0,2,-1,2,1,1,1,0,1,0,10,11,48
4/1/24,Rakell,NYR,20,13.65,12.28,1.37,0,12-6,5,2,W,0,0,0,0,0,1,1,3,0,0,0,0,0,
4/1/24,Malkin,NYR,23,17.57,14.48,3.08,0,12-6,5,2,W,0,0,0,0,1,0,1,0,0,0,1,4,5,44
4/1/24,Crosby,NYR,24,19.65,16.38,3.03,0.23,12-6,5,2,W,2,1,3,3,3,1,3,1,0,1,1,13,10,57
3/30/24,Rakell,CBJ,22,14.83,13.83,1,0,12-6,3,4,SOL,1,0,1,0,3,1,2,2,0,0,2,0,0,
3/30/24,Malkin,CBJ,25,16.55,14.65,1.9,0,12-6,3,4,SOL,0,1,1,0,1,3,0,2,0,3,0,4,4,50
3/30/24,Crosby,CBJ,28,22.52,20.57,1.95,0,12-6,3,4,SOL,0,1,1,-1,4,1,2,0,0,0,0,11,9,55
3/28/24,Rakell,CBJ,18,13.83,11.78,2.05,0,12-6,3,2,W,0,0,0,0,1,0,3,1,2,0,0,0,0,
3/28/24,Malkin,CBJ,19,17.97,12.5,5.47,0,12-6,3,2,W,2,0,2,0,5,0,0,0,1,1,0,2,5,29
3/28/24,Crosby,CBJ,23,21.03,15.82,5.17,0.05,12-6,3,2,W,0,2,2,-1,3,3,1,0,0,1,1,17,6,74
3/26/24,Rakell,CAR,19,15.13,13.17,1.97,0,12-6,4,1,W,0,0,0,-1,1,1,1,1,0,1,0,0,0,
3/26/24,Malkin,CAR,19,14.68,12.8,1.88,0,12-6,4,1,W,0,0,0,-1,2,0,1,0,1,2,0,6,6,50
3/26/24,Crosby,CAR,24,19.83,17.47,2.23,0.13,12-6,4,1,W,1,2,3,3,2,1,0,0,2,1,0,20,11,65
3/24/24,Rakell,COL,22,15.92,14.35,1.57,0,12-6,4,5,OTL,0,0,0,-1,1,2,0,0,0,1,0,0,0,
3/24/24,Malkin,COL,24,19.67,17.38,2.28,0,12-6,4,5,OTL,0,0,0,-1,2,2,1,0,0,1,1,4,5,44
3/24/24,Crosby,COL,28,20.17,17.52,2.53,0.12,12-6,4,5,OTL,1,3,4,0,5,0,1,2,0,2,1,19,11,63
3/22/24,Rakell,DAL,19,14.4,13.28,1.17,0,12-6,2,4,L,1,0,1,1,2,0,0,1,0,0,0,0,0,
3/22/24,Malkin,DAL,22,18,16.95,1.05,0,12-6,2,4,L,0,2,2,0,2,1,1,1,0,2,1,7,5,58
3/22/24,Crosby,DAL,26,20.73,17.77,2.97,0,12-6,2,4,L,0,0,0,-1,0,1,1,0,1,1,0,17,7,71
3/19/24,Rakell,NJD,20,13.7,11.95,1.75,0,12-6,2,5,L,0,1,1,0,3,1,0,2,0,0,2,0,0,
3/19/24,Malkin,NJD,22,16.02,14.28,1.73,0,12-6,2,5,L,0,0,0,0,2,0,1,0,0,0,0,6,6,50
3/19/24,Crosby,NJD,22,21.52,19.25,2.27,0,12-6,2,5,L,0,1,1,0,5,2,1,1,0,4,0,11,14,44
3/17/24,Rakell,DET,19,12.52,10.18,2.33,0,12-6,6,3,W,0,0,0,1,3,0,1,0,0,0,0,0,0,
3/17/24,Malkin,DET,20,13.97,11.53,2.43,0,12-6,6,3,W,0,1,1,1,2,4,1,0,1,0,1,3,4,43
3/17/24,Crosby,DET,25,19.15,15.27,3.88,0,12-6,6,3,W,1,1,2,1,4,0,1,0,0,1,2,11,8,58
3/16/24,Rakell,NYR,19,16.3,14.42,1.88,0,12-6,4,7,L,0,0,0,0,4,2,0,0,0,1,0,0,0,
3/16/24,Malkin,NYR,21,18.18,16.33,1.85,0,12-6,4,7,L,0,0,0,-1,3,1,1,1,1,0,0,4,4,50
3/16/24,Crosby,NYR,23,21.8,18.97,2.82,0.02,12-6,4,7,L,0,1,1,-1,1,3,1,3,2,0,0,13,9,59
3/14/24,Rakell,SJS,18,11.83,10.33,1.5,0,12-6,6,3,W,1,0,1,0,1,0,0,1,0,1,1,0,0,
3/14/24,Malkin,SJS,19,16,14.12,1.8,0.08,12-6,6,3,W,1,0,1,1,2,5,1,0,1,0,2,6,4,60
3/14/24,Crosby,SJS,23,18.72,16.58,2.13,0,12-6,6,3,W,0,1,1,0,3,0,1,1,1,0,0,12,9,57
3/12/24,Rakell,OTT,18,11.05,10.42,0.63,0,12-6,1,2,OTL,0,0,0,0,1,0,1,2,0,0,0,0,0,
3/12/24,Malkin,OTT,23,17.8,16.65,1.15,0,12-6,1,2,OTL,0,1,1,0,1,1,1,1,2,1,0,2,5,29
3/12/24,Crosby,OTT,26,20.65,19.8,0.85,0,12-6,1,2,OTL,0,0,0,0,3,0,1,0,0,0,0,15,9,63
3/10/24,Rakell,EDM,12,11.78,8.83,2.95,0,12-6,0,4,L,0,0,0,0,2,0,0,1,0,0,0,0,1,0
3/10/24,Malkin,EDM,19,18.62,15.77,2.78,0.07,12-6,0,4,L,0,0,0,0,0,0,1,0,1,1,0,5,5,50
3/10/24,Crosby,EDM,21,19.25,15.1,4.13,0.02,12-6,0,4,L,0,0,0,-3,2,0,1,2,1,0,0,12,9,57
